City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,san quintin,30.4833,-115.95,13.8,71,100,2.43,MX,1675042119
85,saravan,39.7196,45.6483,-5.69,92,92,1.77,AM,1675042120
86,vestmannaeyjar,63.4427,-20.2734,-0.03,79,6,5.83,IS,1675042047
87,brae,60.3964,-1.353,5.71,69,100,13.54,GB,1675042121
88,petropavlovsk-kamchatskiy,53.0452,158.6483,1.33,48,75,9.0,RU,1675041928
89,ritchie,-29.038,24.6028,19.81,45,0,6.02,ZA,1675042122
90,zyryanka,65.75,150.85,-29.21,98,100,9.02,RU,1675042123
91,victoria,22.2855,114.1577,15.69,43,6,2.24,HK,1675041964
92,fairbanks,64.8378,-147.7164,-0.43,92,75,2.57,US,1675041845
93,solano,38.2333,-121.9511,8.53,77,100,6.69,US,1675042123
94,rio gallegos,-51.6226,-69.2181,16.03,59,75,2.06,AR,1675042124
95,port alfred,-33.5906,26.891,15.66,83,79,4.57,ZA,1675042035
96,pocosol,10.3667,-84.6167,21.82,96,100,2.94,CR,1675042125
97,kuito,-12.3833,16.9333,15.04,93,100,1.35,AO,1675042125
98,longyearbyen,78.2186,15.6401,-4.09,63,75,12.35,SJ,1675042126
99,lewistown,40.5992,-77.5714,7.41,87,100,0.0,US,1675042126
100,castro,-24.7911,-50.0119,17.6,96,100,1.87,BR,1675041999
101,ghanzi,-21.5667,21.7833,20.68,70,33,2.99,BW,1675042127
102,buala,-8.145,159.5921,25.4,91,100,2.21,SB,1675042127
103,yinchuan,38.4681,106.2731,-4.12,22,0,0.53,CN,1675042075
104,khatanga,71.9667,102.5,-41.79,100,63,1.22,RU,1675042128
105,upernavik,72.7868,-56.1549,-19.81,66,95,3.77,GL,1675042011
106,maldonado,-34.6667,-54.9167,21.79,78,50,4.24,UY,1675042129
107,saldanha,-33.0117,17.9442,17.24,68,1,4.04,ZA,1675042054
108,bengkulu,-3.8004,102.2655,25.06,84,100,2.01,ID,1675042057
109,bredasdorp,-34.5322,20.0403,18.27,68,100,7.41,ZA,1675042075
110,zhanakorgan,43.9098,67.2495,-2.49,53,97,1.85,KZ,1675042131
111,norrtalje,59.758,18.705,5.8,89,100,8.03,SE,1675042131
112,quang ngai,15.1167,108.8,16.61,85,100,3.1,VN,1675042132
113,sur,22.5667,59.5289,17.93,59,0,1.59,OM,1675042132
114,comodoro rivadavia,-45.8667,-67.5,20.92,56,0,1.03,AR,1675042133
115,san ramon,37.7799,-121.978,8.17,87,100,4.63,US,1675042133
116,evensk,61.95,159.2333,-2.67,88,100,16.88,RU,1675042134
117,ossora,59.2353,163.0719,-0.07,88,100,12.62,RU,1675042134
118,talnakh,69.4865,88.3972,-21.16,100,100,0.32,RU,1675042061
119,dikson,73.5069,80.5464,-33.92,96,44,1.24,RU,1675042017
120,port elizabeth,-33.918,25.5701,16.84,71,40,2.06,ZA,1675042135
121,kaeo,-35.1,173.7833,21.29,95,100,5.88,NZ,1675042056
122,ahipara,-35.1667,173.1667,19.03,94,100,6.27,NZ,1675042003
123,hofn,64.2539,-15.2082,-1.76,65,8,7.08,IS,1675042136
124,haines junction,60.7522,-137.5108,-8.04,94,100,0.21,CA,1675042136
125,kuala lipis,4.1842,102.0468,21.51,100,100,0.48,MY,1675042137
126,bethel,41.3712,-73.414,8.27,69,100,2.06,US,1675041927
127,diamantino,-14.4086,-56.4461,21.58,94,17,1.64,BR,1675042138
128,bathsheba,13.2167,-59.5167,23.34,78,20,3.6,BB,1675042000
129,puerto colombia,10.9878,-74.9547,25.05,81,12,12.24,CO,1675042139
130,dapaong,10.8639,0.205,24.46,12,65,3.06,TG,1675042139
131,labuhan,-6.8844,112.2051,26.03,86,100,5.54,ID,1675042140
132,tasiilaq,65.6145,-37.6368,-6.91,89,100,2.54,GL,1675042071
133,micheweni,-4.9667,39.8333,25.83,77,72,3.16,TZ,1675042140
134,horqueta,-23.3428,-57.0597,25.0,78,6,1.77,PY,1675042141
135,codrington,-38.2667,141.9667,19.58,52,100,4.53,AU,1675042142
136,odweyne,9.4092,45.064,17.64,58,0,2.24,SO,1675042143
137,ulaangom,49.9811,92.0667,-27.94,92,93,0.92,MN,1675042143
138,mahebourg,-20.4081,57.7,25.14,94,20,1.54,MU,1675042057
139,kisaran,2.9845,99.6158,23.72,95,100,1.94,ID,1675042144
140,butaritari,3.0707,172.7902,27.28,79,0,9.61,KI,1675041995
141,buzmeyin,38.0507,58.2056,1.85,69,75,1.03,TM,1675042145
142,martapura,-3.4167,114.85,25.05,94,20,1.54,ID,1675042146
143,butka,56.7179,63.7866,-13.3,94,100,3.3,RU,1675042147
144,launceston,-41.45,147.1667,23.67,55,75,2.06,AU,1675042149
145,georgetown,5.4112,100.3354,27.96,76,20,1.54,MY,1675041746
146,cabo san lucas,22.8909,-109.9124,20.84,78,20,3.09,MX,1675042150
147,nigel,-26.4314,28.4771,16.88,95,100,4.79,ZA,1675042150
148,torbay,47.6666,-52.7314,-2.56,70,20,3.6,CA,1675042152
149,xuddur,4.1213,43.8894,20.02,79,5,7.46,SO,1675042152
150,kavieng,-2.5744,150.7967,29.25,70,54,4.0,PG,1675042153
151,ixtapa,20.7,-105.2,24.01,78,0,4.12,MX,1675041975
152,ilulissat,69.2167,-51.1,-6.99,49,100,12.35,GL,1675042154
153,atambua,-9.1061,124.8925,27.47,73,99,0.73,ID,1675042154
154,kaitangata,-46.2817,169.8464,19.71,70,100,4.09,NZ,1675042077
155,matara,5.9485,80.5353,21.63,87,54,1.67,LK,1675041963
156,uvat,59.1433,68.8953,-13.01,96,100,3.27,RU,1675042156
157,mana,5.6592,-53.7767,23.72,90,15,3.62,GF,1675042156
158,atuona,-9.8,-139.0333,26.06,77,17,7.97,PF,1675042049
159,harindanga,22.0383,88.3214,15.7,43,0,2.75,IN,1675042157
160,peniche,39.3558,-9.3811,7.47,71,0,4.23,PT,1675042013
161,pisco,-13.7,-76.2167,23.03,83,20,6.69,PE,1675041948
162,airai,-8.9266,125.4092,21.43,73,97,0.28,TL,1675042158
163,bereda,43.2686,-7.5406,0.08,100,98,1.26,ES,1675042159
164,salalah,17.0151,54.0924,18.05,39,0,4.12,OM,1675042160
165,caloundra,-26.8,153.1333,31.18,70,79,3.13,AU,1675042161
166,acapulco,16.8634,-99.8901,27.9,69,0,3.6,MX,1675042162
167,mar del plata,-38.0023,-57.5575,21.72,78,0,8.49,AR,1675042036
168,damaturu,11.747,11.9608,24.46,19,99,2.28,NG,1675042163
169,suntar,62.1444,117.6319,-28.24,98,100,1.83,RU,1675042164
170,simao,22.7886,100.9748,8.73,88,1,0.49,CN,1675042165
171,fukue,32.6881,128.8419,6.2,56,40,6.69,JP,1675042166
172,bergen,60.392,5.328,5.64,79,75,4.63,NO,1675042166
173,adrar,20.5022,-10.0711,12.89,48,92,4.15,MR,1675042167
174,asau,46.4333,26.4,-6.49,94,28,2.26,RO,1675042167
175,roald,62.5833,6.1333,5.97,81,75,10.29,NO,1675042168
176,svetlogorsk,52.6333,29.7333,-2.26,90,100,4.95,BY,1675042169
177,hobyo,5.3505,48.5268,24.22,77,30,8.77,SO,1675042062
178,kondopoga,62.2057,34.2614,-0.17,87,100,5.21,RU,1675042170
179,kuching,1.55,110.3333,27.23,97,40,1.54,MY,1675042048
180,dumas,35.8656,-101.9732,-9.92,92,100,4.12,US,1675042043
181,kungurtug,50.5994,97.5228,-20.21,96,100,0.52,RU,1675042171
182,port said,31.2565,32.2841,16.65,63,0,3.88,EG,1675042171
183,lagoa,39.05,-27.9833,14.29,75,91,6.67,PT,1675042067
184,arraial do cabo,-22.9661,-42.0278,24.99,90,62,10.41,BR,1675042011
185,selfoss,63.9331,-20.9971,-4.98,84,8,3.41,IS,1675042173
186,itaquyry,-24.9333,-55.2167,21.16,99,100,0.83,PY,1675042173
187,pandan,14.0453,124.1694,24.92,90,100,9.34,PH,1675042174
188,jos,9.9167,8.9,21.04,52,100,0.58,NG,1675042174
189,yarada,17.65,83.2667,24.18,88,20,1.03,IN,1675042175
190,christchurch,-43.5333,172.6333,26.11,63,100,6.17,NZ,1675041954
191,chuy,-33.6971,-53.4616,21.65,79,46,4.76,UY,1675042009
192,daru,-9.0763,143.2092,29.96,70,40,1.07,PG,1675042176
193,kyaukse,21.6,96.1333,18.0,82,20,0.0,MM,1675042177
194,suvorovo,43.3333,27.6,0.19,83,100,1.6,BG,1675042178
195,san patricio,28.017,-97.5169,23.05,88,5,2.8,US,1675042178
196,chokurdakh,70.6333,147.9167,-35.68,98,100,1.84,RU,1675042179
197,hirara,24.8,125.2833,16.15,48,40,6.69,JP,1675042182
198,hay river,60.8156,-115.7999,-24.01,77,20,3.6,CA,1675042182
199,acarau,-2.8856,-40.12,25.28,84,9,4.34,BR,1675042183
200,chanal,16.7167,-92.4,10.55,84,3,0.73,MX,1675042183
201,severo-kurilsk,50.6789,156.125,-2.89,82,100,17.73,RU,1675042014
202,nikolskoye,59.7035,30.7861,-0.05,92,100,5.37,RU,1675042184
203,vila,42.0304,-8.1588,-1.51,87,6,1.52,PT,1675042184
204,apastovo,55.2029,48.5109,-8.97,96,100,3.1,RU,1675042185
205,udachnyy,66.4167,112.4,-37.53,73,97,1.05,RU,1675042186
206,soto la marina,23.7667,-98.2167,24.35,69,5,6.36,MX,1675042187
207,tanout,14.9709,8.8879,22.18,13,100,4.51,NE,1675042187
208,miyang,24.4042,103.4428,7.64,65,0,0.17,CN,1675042189
209,shumikha,55.2261,63.2961,-18.58,98,84,2.92,RU,1675042190
210,kupang,-10.1667,123.5833,29.32,79,40,2.57,ID,1675042190
211,waipawa,-41.4122,175.5153,23.66,61,100,2.03,NZ,1675042191
212,solomenskoye,44.2167,44.3528,0.2,93,100,2.03,RU,1675042192
213,burns lake,54.2331,-125.7533,-17.32,96,80,0.9,CA,1675042192
214,riyadh,24.6877,46.7219,12.08,42,15,2.36,SA,1675041916
215,makakilo city,21.3469,-158.0858,22.18,77,75,5.14,US,1675042193
216,pangnirtung,66.1451,-65.7125,-35.0,68,0,0.0,CA,1675042193
217,port lincoln,-34.7333,135.8667,18.97,61,43,4.61,AU,1675042194
218,okha,53.5739,142.9478,-24.75,87,79,7.15,RU,1675042195
219,fuxin,42.0156,121.6589,-6.13,50,9,1.12,CN,1675042195
220,kavaratti,10.5669,72.642,26.46,73,43,5.84,IN,1675042196
221,muroto,33.2833,134.15,8.04,68,49,7.56,JP,1675042197
222,bereznehuvate,47.3078,32.8499,-2.95,86,15,3.96,UA,1675042197
223,high level,58.5169,-117.136,-11.94,79,20,5.66,CA,1675041910
224,erzin,36.9559,36.2,9.25,85,100,2.06,TR,1675042198
225,moree,-29.4667,149.85,35.37,28,100,6.92,AU,1675042198
226,grajau,-5.8194,-46.1386,22.2,94,57,1.41,BR,1675042199
227,yellowknife,62.456,-114.3525,-28.58,69,20,5.66,CA,1675042037
228,kaseda,31.4167,130.3167,11.53,57,94,9.85,JP,1675042199
229,dunedin,-45.8742,170.5036,20.97,53,100,3.12,NZ,1675042200
230,burnie,-41.0667,145.9167,21.64,53,100,2.32,AU,1675042201
231,oktyabrskiy,54.4815,53.471,-15.16,98,98,2.89,RU,1675042202
232,athabasca,54.7169,-113.2854,-17.77,86,100,4.04,CA,1675042033
233,tiksi,71.6872,128.8694,-37.55,98,77,2.54,RU,1675042009
234,chokwe,-24.5333,32.9833,23.45,78,91,4.04,MZ,1675042205
235,tual,-5.6667,132.75,28.06,73,100,2.79,ID,1675042210
236,vilyuysk,63.7553,121.6247,-36.94,96,100,2.07,RU,1675042210
237,dryden,49.7833,-92.7503,-23.84,77,0,3.09,CA,1675042212
238,kampene,-3.6,26.6667,19.05,99,100,0.39,CD,1675042214
